MUNICIPIO,DF,DL,SECCION,TIPO,GOB_2019,PM_2019,DL_2019,GOB_2021,PM_2021,DL_2021,PM_2024,DL_2024,ESTRAT_CEN,CLASIFICACION,PRIORIDAD,PERFIL,CLASE,LN_FEB_26,MORENA_PM_2024,DIF_PM24,META
TIJUANA,4,7,1389,URBANO(A),11,11,18,16,38,23,17,10,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,1389,364,347,365
TIJUANA,4,7,1390,URBANO(A),32,24,33,22,18,25,36,11,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,1699,376,340,377
TIJUANA,4,7,1391,URBANO(A),31,22,22,13,31,20,18,14,NO,SWITCH,1,JOVENES,MEDIA,1260,331,313,332
TIJUANA,4,7,1392,URBANO(A),22,20,23,11,29,12,21,12,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA,1108,204,183,205
TIJUANA,4,7,1393,URBANO(A),25,20,22,8,37,21,29,12,NO,SWITCH,1,JOVENES,MEDIA,953,231,202,232
TIJUANA,4,7,1394,URBANO(A),56,31,56,25,103,57,83,54,NO,SWITCH,1,JOVENES,ALTA,1000,232,149,233
TIJUANA,4,7,1395,URBANO(A),65,44,56,27,107,64,101,58,NO,SWITCH,1,JOVENES,ALTA,948,230,129,231
TIJUANA,4,7,1396,URBANO(A),45,24,39,19,80,40,63,33,NO,SWITCH,1,JOVENES,ALTA,836,222,159,223
TIJUANA,4,7,1397,URBANO(A),55,28,56,20,78,51,61,48,NO,SWITCH,1,JOVENES,ALTA,963,252,191,253
TIJUANA,4,7,1398,URBANO(A),55,38,69,39,116,72,79,68,NO,SWITCH,1,JOVENES,ALTA,1120,306,227,307
TIJUANA,4,7,1399,URBANO(A),34,22,30,23,75,38,59,33,NO,SWITCH,1,JOVENES,ALTA,948,306,247,307
TIJUANA,4,7,1400,URBANO(A),31,12,15,13,62,29,22,55,NO,SWITCH,1,JOVENES,ALTA,748,116,94,117
TIJUANA,4,7,1401,URBANO(A),59,34,67,31,109,70,56,42,NO,SWITCH,1,JOVENES,ALTA,1077,253,197,254
TIJUANA,4,7,1402,URBANO(A),43,24,41,30,60,55,64,39,NO,SWITCH,1,JOVENES,ALTA,883,192,128,193
TIJUANA,4,7,1403,URBANO(A),48,30,40,26,89,56,62,45,NO,OPOSITOR,3,JOVENES,ALTA,930,261,199,262
TIJUANA,4,7,1404,URBANO(A),34,25,30,20,56,28,49,27,NO,SWITCH,1,JOVENES,ALTA,834,254,205,255
TIJUANA,4,7,1405,URBANO(A),52,31,48,25,91,52,78,56,NO,SWITCH,1,JOVENES,ALTA,1178,274,196,275
TIJUANA,4,7,1406,URBANO(A),41,32,41,14,61,31,50,35,NO,SWITCH,1,JOVENES,ALTA,1167,358,308,359
TIJUANA,4,7,1407,URBANO(A),19,7,17,16,47,26,35,22,NO,SWITCH,1,JOVENES,ALTA,1049,300,265,301
TIJUANA,4,7,1408,URBANO(A),35,23,53,11,46,15,30,19,NO,SWITCH,1,JOVENES,ALTA,661,211,181,212
